Platform,Type,Name,Breed,Sex,Species,Spray/Neuter,Arrival Date,Departure Date,Duration,Price,Payment Received,Family Members,Notes,daily price,tips,months_active,dog_rating
xhs,Boarding,Coconut,Bernedoodle,Male,Dog,no,2025-10-07,2025-10-24,18.0,810.0,162.0,,,45.0,0.0,10/2025,5.0
xhs,Boarding,条条,Berne Doodle,Female,Dog,yes,2025-10-04,2025-10-05,1.0,95.0,95.0,,,95.0,0.0,10/2025,5.0
xhs,Boarding,Donny,Cavapoo,Female,Dog,no,2025-10-03,2025-10-06,3.0,180.0,180.0,,,60.0,0.0,10/2025,7.0
Rover,Boarding,Chippy,Chihuahua,Male,Dog,no,2025-10-02,2025-10-08,6.0,390.0,390.0,,,65.0,0.0,10/2025,6.0
xhs,Boarding,Wuhu,Bichon,Male,Dog,yes,2025-10-01,2025-10-12,12.0,360.0,360.0,,,30.0,0.0,10/2025,6.0
Rover,Boarding,Brody,Wire Fox Terrior,Male,Dog,yes,2025-09-30,2025-10-03,3.0,245.0,245.0,,,81.67,0.0,"09/2025, 10/2025",6.0
xhs,Boarding,Jemma,Maltese,Female,Dog,yes,2025-09-26,2025-10-02,6.0,165.0,165.0,,两只一共55,27.5,0.0,"09/2025, 10/2025",10.0
xhs,Boarding,Pi,Maltese,Male,Dog,yes,2025-09-26,2025-10-02,6.0,165.0,165.0,,,27.5,0.0,"09/2025, 10/2025",10.0
xhs,Boarding,Madi,Cavapoo,Female,Dog,yes,2025-09-23,2025-09-24,1.0,30.0,35.0,,,30.0,5.0,09/2025,8.0
xhs,Boarding,Toffee,Dachshund Long,Female,Dog,no,2025-09-20,2025-11-26,67.0,1776.0,0.0,,,26.51,0.0,"09/2025, 10/2025, 11/2025",8.0
Rover,Boarding,Joey,American short,Male,Cat,yes,2025-09-19,2025-09-21,2.0,125.0,150.0,,,62.5,25.0,09/2025,8.0
xhs,Boarding,Milo2,Shiba Inu,Male,Dog,yes,2025-09-18,2025-09-28,10.0,450.0,450.0,,,45.0,0.0,09/2025,7.0
xhs,Boarding,Oliver1,Dachshund Long,Male,Dog,yes,2025-09-18,2025-09-22,4.0,120.0,140.0,,,30.0,20.0,09/2025,10.0
xhs,Boarding,Madi,Cavapoo,Female,Dog,yes,2025-09-16,2025-09-17,1.0,30.0,35.0,,,30.0,5.0,09/2025,8.0
xhs,Boarding,Rolie,French Bulldog,Male,Dog,no,2025-09-15,2025-09-20,6.5,292.5,292.5,,,45.0,0.0,09/2025,8.0
xhs,Boarding,Millie,French Bulldog,Male,Dog,no,2025-09-15,2025-09-20,6.5,292.5,292.5,,,45.0,0.0,09/2025,8.0
xhs,Boarding,可乐1,Yorkie,Male,Dog,yes,2025-09-13,2025-10-02,19.0,570.0,570.0,,,30.0,0.0,"09/2025, 10/2025",7.0
Rover,Boarding,Brody,Wire Fox Terrior,Male,Dog,yes,2025-09-06,2025-09-11,5.0,198.0,198.0,,,39.6,0.0,09/2025,6.0
xhs,Boarding,Momo,Maltese,Female,Dog,yes,2025-09-02,2025-09-08,6.0,180.0,180.0,,,30.0,0.0,09/2025,8.0
xhs,Boarding,Cola,Pomeranian,Male,Dog,yes,2025-09-01,2025-09-24,23.0,517.5,517.5,,,22.5,0.0,09/2025,7.0
xhs,Boarding,Coco1,Pomeranian,Female,Dog,yes,2025-09-01,2025-09-24,23.0,517.5,517.5,,,22.5,0.0,09/2025,7.0
xhs,Boarding,Gogo,Shiba Inu,Male,Dog,yes,2025-08-30,2025-09-02,3.0,135.0,135.0,,,45.0,0.0,"08/2025, 09/2025",2.0
xhs,Boarding,Oliver1,Dachshund Long,Male,Dog,yes,2025-08-30,2025-09-05,7.0,210.0,240.0,,,30.0,30.0,"08/2025, 09/2025",10.0
Rover,Boarding,Joey,American short,Male,Cat,yes,2025-08-28,2025-09-01,4.0,340.0,340.0,,,85.0,0.0,08/2025,8.0
xhs,Boarding,Kylie,Aussie Doodle,Female,Dog,no,2025-08-28,2025-10-20,52.0,1820.0,1820.0,,,35.0,0.0,"08/2025, 09/2025, 10/2025",8.0
xhs,Boarding,噗噗,French Bulldog,Male,Dog,no,2025-08-27,2025-09-04,8.0,320.0,320.0,,,40.0,0.0,"08/2025, 09/2025",7.0
xhs,Boarding,Luna,Australian Shepherd,Female,Dog,yes,2025-08-22,2025-09-13,22.0,566.0,566.0,Brownie/Archie,一天一共3只80,25.73,0.0,"08/2025, 09/2025",4.0
xhs,Boarding,Brownie,Dachshund Long,Male,Dog,no,2025-08-22,2025-09-13,22.0,566.0,566.0,Archie/Luna,一天一共3只80,25.73,0.0,"08/2025, 09/2025",4.0
xhs,Boarding,Archie,Berne Doodle,Male,Dog,yes,2025-08-22,2025-09-13,22.0,566.0,566.0,Luna/Brownie,一天一共3只80,25.73,0.0,"08/2025, 09/2025",4.0
xhs,Boarding,Papaya,Mixed,Female,Dog,yes,2025-08-20,2025-08-29,8.0,280.0,280.0,,,35.0,0.0,08/2025,8.0
xhs,Boarding,椰椰,Bichon Frise,Female,Dog,yes,2025-08-19,2025-08-24,5.0,150.0,150.0,,,30.0,0.0,08/2025,7.0
xhs,Boarding,Ace,Schnauzer,Male,Dog,no,2025-08-17,2025-12-17,122.0,3600.0,1440.0,,,29.51,0.0,"08/2025, 09/2025, 10/2025, 11/2025, 12/2025",7.0
xhs,Boarding,Millie,French Bulldog,Male,Dog,no,2025-08-15,2025-08-20,6.0,270.0,270.0,,,45.0,0.0,08/2025,8.0
xhs,Boarding,Rolie,French Bulldog,Male,Dog,no,2025-08-15,2025-08-20,6.0,270.0,270.0,,,45.0,0.0,08/2025,8.0
xhs,Boarding,Kylie,Aussie Doodle,Female,Dog,no,2025-08-12,2025-08-18,6.0,210.0,210.0,,35一天,35.0,0.0,08/2025,8.0
xhs,Boarding,歇歇,Bichon Frise,Female,Dog,yes,2025-08-06,2025-08-10,4.0,120.0,140.0,,,30.0,20.0,08/2025,7.0
xhs,Boarding,雪哈,Husky,Female,Dog,yes,2025-08-05,2025-09-17,42.0,900.0,900.0,,,21.43,0.0,"08/2025, 09/2025",9.0
xhs,Boarding,可乐,Maltese,Male,Dog,yes,2025-08-03,2025-08-12,9.0,270.0,300.0,,一天30,30.0,30.0,08/2025,8.0
xhs,Boarding,Madi,Cavapoo,Female,Dog,yes,2025-08-01,2025-08-10,9.0,270.0,300.0,,,30.0,30.0,08/2025,8.0
xhs,Boarding,Mia,American Short,Female,Cat,yes,2025-07-31,2025-08-16,16.0,390.0,390.0,,一周170，一天25,24.38,0.0,"07/2025, 08/2025",7.0
xhs,Boarding,Uni,Shiba Inu,Male,Dog,yes,2025-07-20,2025-07-24,5.0,225.0,225.0,,,45.0,0.0,07/2025,7.0
xhs,Boarding,Cotton,Corgi,Female,Dog,yes,2025-07-19,2025-07-21,2.0,80.0,100.0,,,40.0,20.0,07/2025,6.0
xhs,Boarding,豆包,Maltese,Male,Dog,yes,2025-07-18,2025-08-30,43.0,1032.0,1032.0,,长期8折，30一天,24.0,0.0,"07/2025, 08/2025",3.0
xhs,Boarding,依依,Schnauzer,Female,Dog,no,2025-07-17,2025-07-23,6.0,180.0,180.0,,,30.0,0.0,07/2025,5.0
xhs,Boarding,噗噗,French Bulldog,Male,Dog,no,2025-07-15,2025-07-20,5.0,200.0,200.0,,40一天,40.0,0.0,07/2025,7.0
xhs,Boarding,Kylie,Aussie Doodle,Female,Dog,no,2025-07-13,2025-07-23,10.0,350.0,350.0,,35一天,35.0,0.0,07/2025,8.0
xhs,Boarding,Ace,Schnauzer,Male,Dog,no,2025-07-13,2025-08-11,25.0,750.0,750.0,,28天840，多的一天30,30.0,0.0,"07/2025, 08/2025",7.0
Rover,Boarding,Romeo,Poodle,Male,Dog,Yes,2025-07-10,2025-07-15,5.0,350.0,350.0,,,70.0,0.0,07/2025,5.0
xhs,Boarding,Oliver1,Dachshund Long,Male,Dog,yes,2025-07-08,2025-07-14,6.0,180.0,200.0,,,30.0,20.0,07/2025,10.0
xhs,Boarding,Lulu,Teddy,Female,Dog,no,2025-07-06,2025-07-09,4.0,180.0,180.0,,,45.0,0.0,07/2025,2.0
Rover,Boarding,Ivy,Domestic Long,Female,Cat,Yes,2025-07-03,2025-07-07,4.0,198.0,298.0,,,49.5,100.0,07/2025,8.0
shelter,Boarding,Lady,Husky,Female,Dog,No,2025-07-03,2025-07-13,10.0,250.0,250.0,,,25.0,0.0,07/2025,5.0
xhs,Boarding,Rusty,Golden Doodle,Male,Dog,yes,2025-07-02,2025-07-07,5.0,225.0,225.0,,,45.0,0.0,07/2025,10.0
xhs,Boarding,小鱼,Domestic Short,Female,Cat,yes,2025-07-01,2025-10-01,90.0,1600.0,1600.0,,,17.78,0.0,"07/2025, 08/2025, 09/2025",8.0
xhs,Boarding,Millie,French Bulldog,Male,Dog,no,2025-06-30,2025-07-02,3.0,135.0,135.0,,,45.0,0.0,"06/2025, 07/2025",8.0
xhs,Boarding,Rolie,French Bulldog,Male,Dog,no,2025-06-30,2025-07-02,3.0,135.0,135.0,,,45.0,0.0,"06/2025, 07/2025",8.0
xhs,Boarding,Summer,Cavapoo,Female,Dog,yes,2025-06-30,2025-07-06,6.0,180.0,180.0,,,30.0,0.0,"06/2025, 07/2025",10.0
xhs,Boarding,巴士,Russian Blue,Male,Cat,yes,2025-06-21,2025-08-22,60.0,800.0,800.0,,,13.33,0.0,"06/2025, 07/2025, 08/2025",9.0
xhs,Boarding,布丁2,British Short,Male,Cat,yes,2025-06-21,2025-08-22,60.0,800.0,800.0,,,13.33,0.0,"06/2025, 07/2025, 08/2025",9.0
xhs,Boarding,挖泥,British Short,Female,Cat,yes,2025-06-15,2025-08-24,69.0,853.0,853.0,旮豆/挖泥,一个月550，算两只猫的价格,12.36,0.0,"06/2025, 07/2025, 08/2025",8.0
xhs,Boarding,旮豆,British Short,Female,Cat,yes,2025-06-15,2025-08-24,69.0,853.0,853.0,小佐/挖泥,一个月550，一天40，算两只猫的价格,12.36,0.0,"06/2025, 07/2025, 08/2025",8.0
xhs,Boarding,小佐,Domestic Long,Female,Cat,no,2025-06-15,2025-08-24,69.0,853.0,853.0,旮豆/小佐,一个月550，算两只猫的价格,12.36,0.0,"06/2025, 07/2025, 08/2025",8.0
xhs,Boarding,百亿,French Bulldog,Male,Dog,no,2025-06-13,2025-09-15,92.0,4185.0,4185.0,,,45.49,0.0,"06/2025, 07/2025, 08/2025, 09/2025",5.0
xhs,Boarding,多多,Russian Blue,Male,Cat,yes,2025-06-12,2025-08-12,60.0,1000.0,1100.0,,一个月500,16.67,100.0,"06/2025, 07/2025, 08/2025",5.0
xhs,Boarding,可乐,Maltese,Male,Dog,yes,2025-06-10,2025-07-12,32.0,960.0,960.0,,一天30,30.0,0.0,"06/2025, 07/2025",8.0
xhs,Boarding,Turbo,Corgi,Male,Dog,yes,2025-06-07,2025-06-26,19.0,950.0,950.0,,两只1v1，一天100,50.0,0.0,06/2025,9.0
xhs,Boarding,Mason,Shiba Inu,Male,Dog,yes,2025-06-07,2025-06-26,19.0,950.0,950.0,,两只1v1，一天100,50.0,0.0,06/2025,9.0
xhs,Boarding,米浆,Siamese,Male,Cat,yes,2025-06-06,2025-06-08,1.0,15.0,0.0,,两只一共30,15.0,0.0,06/2025,7.0
xhs,Boarding,皮皮,Domestic Short,Male,Cat,no,2025-06-06,2025-06-08,1.0,15.0,0.0,,两只一共30,15.0,0.0,06/2025,7.0
xhs,Boarding,雪哈,Husky,Female,Dog,yes,2025-06-04,2025-06-17,13.0,300.0,300.0,,,23.08,0.0,06/2025,9.0
xhs,Boarding,Kendrick,Shiba Inu,Male,Dog,yes,2025-06-02,2025-06-08,6.0,270.0,320.0,,,45.0,50.0,06/2025,6.0
xhs,Boarding,栗子1,Border Collie,Female,Dog,yes,2025-06-01,2025-09-24,115.0,5750.0,5750.0,,一天50,50.0,0.0,"06/2025, 07/2025, 08/2025, 09/2025",10.0
Rover,Boarding,Brody,Wire Fox Terrior,Male,Dog,Yes,2025-05-31,2025-06-03,3.0,85.0,85.0,,,28.33,0.0,"05/2025, 06/2025",6.0
Rover,Boarding,Oliver,Mixed,Male,Dog,Yes,2025-05-30,2025-06-02,3.0,245.0,245.0,,,81.67,0.0,"05/2025, 06/2025",10.0
xhs,Boarding,曲奇,French Bulldog,Male,Dog,no,2025-05-30,2025-06-24,25.0,1125.0,1125.0,,,45.0,0.0,"05/2025, 06/2025",8.0
xhs,Boarding,Kendrick,Shiba Inu,Male,Dog,yes,2025-05-24,2025-05-26,3.0,135.0,165.0,,一天45,45.0,30.0,05/2025,6.0
xhs,Boarding,Donny,Cavapoo,Female,Dog,no,2025-05-23,2025-08-24,90.0,2000.0,2000.0,,打包价,22.22,0.0,"05/2025, 06/2025, 07/2025, 08/2025",7.0
xhs,Boarding,皮卡丘,poodle mix,Male,Dog,yes,2025-05-22,2025-06-08,17.0,500.0,500.0,,新客两只8折+抹零,29.41,0.0,"05/2025, 06/2025",7.0
xhs,Boarding,屁屁,Corgi,Male,Dog,no,2025-05-22,2025-06-08,17.0,500.0,500.0,,新客两只8折+抹零,29.41,0.0,"05/2025, 06/2025",8.0
xhs,Boarding,Liberty,Dachshund Long,Female,Dog,yes,2025-05-21,2025-06-01,11.0,330.0,380.0,,,30.0,50.0,05/2025,10.0
xhs,Boarding,蛋黄,American Short,Male,Cat,yes,2025-05-20,2025-08-19,90.0,900.0,900.0,,两只一个月600,10.0,0.0,"05/2025, 06/2025, 07/2025, 08/2025",7.0
xhs,Boarding,弟弟,British Short,Female,Cat,yes,2025-05-20,2025-08-19,90.0,900.0,900.0,,两只一个月600,10.0,0.0,"05/2025, 06/2025, 07/2025, 08/2025",7.0
xhs,Boarding,Wolfie,French Bulldog,Male,Dog,yes,2025-05-19,2025-05-27,8.0,360.0,360.0,,新客人小小打折，45一天,45.0,0.0,05/2025,7.0
xhs,Boarding,Opao,Yorkie,Male,Dog,no,2025-05-18,2025-05-21,2.0,60.0,60.0,,,30.0,0.0,05/2025,5.0
xhs,Boarding,依依,Schnauzer,Female,Dog,no,2025-05-16,2025-05-21,6.0,180.0,180.0,,,30.0,0.0,05/2025,5.0
xhs,Boarding,Mocha1,Yorkie,Male,Dog,yes,2025-05-15,2025-05-19,4.0,120.0,120.0,,,30.0,0.0,05/2025,6.0
xhs,Boarding,帅哥,Schnauzer,Male,Dog,no,2025-05-15,2025-05-19,4.0,200.0,200.0,,急单加钱,50.0,0.0,05/2025,6.0
xhs,Boarding,胖虎,Shiba Inu,Male,Dog,no,2025-05-15,2025-05-26,11.0,330.0,330.0,,一天30，未绝育,30.0,0.0,05/2025,5.0
xhs,Boarding,辛巴,Poodle,Male,Dog,yes,2025-05-14,2025-05-19,5.0,150.0,150.0,,一天30,30.0,0.0,05/2025,7.0
xhs,Boarding,Rolie,French Bulldog,Male,Dog,no,2025-05-10,2025-05-25,15.0,675.0,675.0,Millie,一天45,45.0,0.0,05/2025,8.0
xhs,Boarding,Millie,French Bulldog,Male,Dog,no,2025-05-10,2025-05-25,15.0,675.0,675.0,Rolie,一天45,45.0,0.0,05/2025,8.0
xhs,Boarding,Dutch,Dachshund Long,Male,Dog,yes,2025-05-10,2025-05-19,9.0,270.0,270.0,,一天30,30.0,0.0,05/2025,10.0
xhs,Boarding,Madi,Cavapoo,Female,Dog,yes,2025-05-09,2025-05-12,3.0,90.0,100.0,,一天30,30.0,10.0,05/2025,8.0
xhs,Boarding,雪哈,Husky,Female,Dog,yes,2025-05-09,2025-05-23,14.0,300.0,300.0,,一周150,21.43,0.0,05/2025,9.0
xhs,Boarding,Opao,Yorkie,Male,Dog,no,2025-05-09,2025-05-14,5.0,150.0,150.0,,,30.0,0.0,05/2025,5.0
xhs,Boarding,Boba,Siberian Long,Male,Cat,yes,2025-05-06,2025-12-06,210.0,3850.0,2750.0,,一个月550,18.33,0.0,"05/2025, 06/2025, 07/2025, 08/2025, 09/2025, 10/2025, 11/2025, 12/2025",8.0
xhs,Boarding,Millie,French Bulldog,Male,Dog,no,2025-05-05,2025-05-05,1.0,35.0,35.0,Rolie,一天45,35.0,0.0,05/2025,8.0
xhs,Boarding,Rolie,French Bulldog,Male,Dog,no,2025-05-05,2025-05-05,1.0,35.0,35.0,Millie,一天45,35.0,0.0,05/2025,8.0
xhs,Boarding,Kylie,Aussie Doodle,Female,Dog,no,2025-05-05,2025-06-11,37.0,1215.0,1215.0,,35一天,32.84,0.0,"05/2025, 06/2025",8.0
xhs,Boarding,Cotton,Corgi,Female,Dog,yes,2025-05-04,2025-06-18,45.0,1660.0,1660.0,,40一天，打折,36.89,0.0,"05/2025, 06/2025",6.0
xhs,Boarding,Pico,Bengal,Male,Cat,yes,2025-05-03,2025-06-03,30.0,550.0,550.0,,,18.33,0.0,"05/2025, 06/2025",9.0
xhs,Boarding,Tobi,British Short,Male,Cat,no,2025-04-30,2025-05-24,24.0,360.0,360.0,,两只一天30,15.0,0.0,"04/2025, 05/2025",9.0
xhs,Boarding,Gigi,British Short,Female,Cat,yes,2025-04-30,2025-05-24,24.0,360.0,360.0,,两只一天30,15.0,0.0,"04/2025, 05/2025",9.0
xhs,Boarding,依依,Schnauzer,Female,Dog,no,2025-04-26,2025-04-29,4.0,120.0,120.0,,,30.0,0.0,04/2025,5.0
xhs,Boarding,Archie,Berne Doodle,Male,Dog,yes,2025-04-23,2025-05-03,10.0,250.0,250.0,Luna/Brownie,一天一共3只80,25.0,0.0,"04/2025, 05/2025",4.0
xhs,Boarding,Luna,Australian Shepherd,Female,Dog,yes,2025-04-23,2025-05-03,10.0,250.0,250.0,Brownie/Archie,一天一共3只80,25.0,0.0,"04/2025, 05/2025",4.0
xhs,Boarding,Brownie,Dachshund Long,Male,Dog,no,2025-04-23,2025-05-03,10.0,250.0,250.0,Archie/Luna,一天一共3只80,25.0,0.0,"04/2025, 05/2025",4.0
xhs,Boarding,柚柚,British Short,Male,Cat,yes,2025-04-19,2025-07-14,86.0,1200.0,1200.0,Pika,400一个月,13.95,0.0,"04/2025, 05/2025, 06/2025, 07/2025",8.0
xhs,Boarding,Pika,American Short,Male,Cat,yes,2025-04-19,2025-07-14,86.0,1200.0,1200.0,柚柚,400一个月,13.95,0.0,"04/2025, 05/2025, 06/2025, 07/2025",8.0
xhs,Boarding,Luna,Australian Shepherd,Female,Dog,yes,2025-04-18,2025-04-21,3.0,105.0,105.0,Brownie/Archie,一天一共2只70,35.0,0.0,04/2025,4.0
xhs,Boarding,Archie,Berne Doodle,Male,Dog,yes,2025-04-18,2025-04-21,3.0,105.0,105.0,Luna/Brownie,一天一共2只70,35.0,0.0,04/2025,4.0
xhs,Boarding,安安,Husky,Male,Dog,yes,2025-04-17,2025-04-22,5.0,325.0,325.0,,一天65,65.0,0.0,04/2025,6.0
xhs,Boarding,Pangky,Shiba Inu,Male,Dog,no,2025-04-17,2025-04-23,5.5,250.0,250.0,Pangda,1v2，90一天,45.45,0.0,04/2025,7.0
xhs,Boarding,Pangda,Shiba Inu,Female,Dog,no,2025-04-17,2025-04-23,5.5,250.0,250.0,Pangky,1v2，90一天,45.45,0.0,04/2025,7.0
xhs,Boarding,Noel,Domestic Long,Male,Cat,yes,2025-04-16,2025-08-27,131.0,2200.0,2200.0,,一个月550，一天15,16.79,0.0,"04/2025, 05/2025, 06/2025, 07/2025, 08/2025",8.0
shelter,Boarding,Lauryn,Husky,Female,Dog,No,2025-04-12,2025-04-21,10.0,250.0,250.0,,,25.0,0.0,04/2025,5.0
shelter,Boarding,Emma,Husky,Female,Dog,Yes,2025-04-11,2025-04-21,11.0,275.0,275.0,,,25.0,0.0,04/2025,5.0
shelter,Boarding,Valentina,Husky,Female,Dog,No,2025-04-11,2025-04-21,11.0,275.0,275.0,,,25.0,0.0,04/2025,5.0
xhs,Boarding,Angus,Aussie Doodle,Male,Dog,yes,2025-04-10,2025-04-14,4.0,180.0,200.0,,45一天,45.0,20.0,04/2025,6.0
xhs,Boarding,Gigi,British Short,Female,Cat,yes,2025-04-10,2025-04-26,16.0,260.0,285.0,Tobi,两只一天30+路费,16.25,25.0,04/2025,9.0
xhs,Boarding,Tobi,British Short,Male,Cat,no,2025-04-10,2025-04-26,16.0,260.0,285.0,Gigi,两只一天30+路费,16.25,25.0,04/2025,9.0
shelter,Boarding,Daisy,Husky,Female,Dog,No,2025-04-09,2025-04-17,9.0,225.0,225.0,,,25.0,0.0,04/2025,5.0
shelter,Boarding,Nessa,Husky,Female,Dog,No,2025-04-05,2025-04-21,16.0,400.0,400.0,,,25.0,0.0,04/2025,5.0
xhs,Boarding,噗噗,French Bulldog,Male,Dog,no,2025-04-02,2025-04-08,6.0,240.0,240.0,,三岁，没绝育，一天40,40.0,0.0,04/2025,7.0
shelter,Boarding,Tapi,Labrador,Female,Dog,No,2025-04-01,2025-04-05,4.0,100.0,100.0,,,25.0,0.0,04/2025,5.0
shelter,Boarding,Kelce,German Shepherd,Female,Dog,No,2025-04-01,2025-04-05,4.0,75.0,75.0,,,18.75,0.0,04/2025,5.0
xhs,Boarding,Kylie,Aussie Doodle,Female,Dog,no,2025-04-01,2025-04-13,9.0,455.0,455.0,,35一天,50.56,0.0,04/2025,8.0
xhs,Boarding,Emily,Maltese,Female,Dog,yes,2025-03-30,2025-04-04,6.0,180.0,180.0,,"一天30, 绝育",30.0,0.0,"03/2025, 04/2025",8.0
xhs,Boarding,Toffee,Dachshund Long,Female,Dog,no,2025-03-28,2025-04-05,8.0,440.0,440.0,,1v1，55一天，未绝育,55.0,0.0,"03/2025, 04/2025",8.0
xhs,Boarding,布丁1,Bichon Frise,Female,Dog,yes,2025-03-21,2025-03-30,9.0,270.0,270.0,,,30.0,0.0,03/2025,8.0
xhs,Boarding,Mocha,Maltese Mixed,Male,Dog,no,2025-03-21,2025-03-30,9.0,270.0,270.0,,,30.0,0.0,03/2025,3.0
xhs,Boarding,歇歇,Bichon Frise,Female,Dog,yes,2025-03-20,2025-03-23,3.0,100.0,100.0,,,33.33,0.0,03/2025,7.0
xhs,Boarding,噗噗,French Bulldog,Male,Dog,no,2025-03-19,2025-03-25,6.0,240.0,240.0,,三岁，没绝育，一天40,40.0,0.0,03/2025,7.0
xhs,Boarding,依依,Schnauzer,Female,Dog,no,2025-03-18,2025-03-24,7.0,210.0,210.0,,一天30，没绝育,30.0,0.0,03/2025,5.0
xhs,Boarding,Opao,Yorkie,Male,Dog,no,2025-03-15,2025-03-23,9.0,270.0,270.0,,一天30，没绝育,30.0,0.0,03/2025,5.0
xhs,Boarding,条条,Berne Doodle,Female,Dog,yes,2025-03-14,2025-03-21,7.0,350.0,350.0,,一天50,50.0,0.0,03/2025,5.0
xhs,Boarding,Money,Shiba Inu,Male,Dog,yes,2025-03-13,2025-03-16,4.0,160.0,160.0,,一天40,40.0,0.0,03/2025,6.0
xhs,Boarding,布丁,Shiztu Poodle,Female,Dog,yes,2025-03-10,2025-03-11,2.0,60.0,60.0,,,30.0,0.0,03/2025,6.0
xhs,Boarding,Madi,Cavapoo,Female,Dog,no,2025-03-08,2025-03-09,2.0,60.0,65.0,,,30.0,5.0,03/2025,8.0
xhs,Boarding,Archie,Berne Doodle,Male,Dog,yes,2025-03-06,2025-03-09,4.0,140.0,140.0,,,35.0,0.0,03/2025,4.0
xhs,Boarding,Luna,Australian Shepherd,Female,Dog,yes,2025-03-06,2025-03-09,4.0,140.0,140.0,,,35.0,0.0,03/2025,4.0
xhs,Boarding,椰椰,Bichon Frise,Female,Dog,yes,2025-03-03,2025-04-27,58.0,1160.0,1160.0,,四岁多，绝育,20.0,0.0,"03/2025, 04/2025",7.0
shelter,Boarding,Conrad,German Shepherd,Male,Dog,No,2025-02-19,2025-02-22,4.0,100.0,100.0,,,25.0,0.0,02/2025,5.0
xhs,Boarding,Madi,Cavapoo,Female,Dog,no,2025-02-14,2025-02-18,3.0,90.0,100.0,,一天30,30.0,10.0,02/2025,8.0
xhs,Boarding,Kendrick,Shiba Inu,Male,Dog,yes,2025-02-14,2025-02-17,4.0,160.0,200.0,,一天40,40.0,40.0,02/2025,6.0
xhs,Boarding,Momo,Maltese,Female,Dog,yes,2025-02-14,2025-02-18,5.0,150.0,150.0,,一天30,30.0,0.0,02/2025,8.0
xhs,Boarding,Kylie,Aussie Doodle,Female,Dog,no,2025-02-12,2025-02-18,6.0,330.0,330.0,,1v1 一天55,55.0,0.0,02/2025,8.0
xhs,Boarding,Momo,Maltese,Female,Dog,yes,2025-01-27,2025-02-02,6.0,180.0,180.0,,一天30,30.0,0.0,"01/2025, 02/2025",8.0
xhs,Boarding,Cotton,Corgi,Female,Dog,yes,2025-01-25,2025-02-15,22.0,880.0,920.0,,一天40，小费40,40.0,40.0,"01/2025, 02/2025",6.0
Rover,Boarding,Buster,Meltese,Male,Dog,Yes,2025-01-24,2025-01-25,2.0,112.0,112.0,,,56.0,0.0,01/2025,10.0
xhs,Boarding,Madi,Cavapoo,Female,Dog,no,2025-01-24,2025-01-27,3.0,90.0,100.0,,,30.0,10.0,01/2025,8.0
